"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-3094.79028771241,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.01,-3010.44880829863,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.02,-2904.04052055097,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.03,-2788.85776662333,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.04,-2686.11010381193,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.05,-2609.29783256819,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.06,-2558.4712027252,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.07,-2527.51304279261,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.08,-2510.56779456605,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.09,-2503.62522193504,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.1,-2504.12256117656,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.11,-2510.37689549036,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.12,-2521.22242532073,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.13,-2535.81006261252,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.14,-2553.49707794037,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.15,-2573.78250017242,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.16,-2596.26703271808,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.17,-2620.62699436628,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.18,-2646.59608932043,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.19,-2673.95251106345,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.2,-2702.5099017934,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.21,-2732.11036297899,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.22,-2762.61932763694,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.23,-2793.92142888299,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.24,-2825.91750399304,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.25,-2858.52218294075,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.26,-2891.66183193546,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.27,-7646.59906571883,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.28,-7763.92765598949,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.29,-7878.81436222517,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.3,-7991.31697812912,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.31,-8101.4890960329,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.32,-8209.38113033063,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.33,-8315.04116989806,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.34,-8418.51487950943,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.35,-8519.84600582932,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.36,-8619.07703133281,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.37,-8716.24921658661,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.38,-8811.4030458826,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.39,-8904.57794498734,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.4,-8995.81284158049,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.41,-9085.14651146938,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.42,-9172.61718601395,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.43,-9258.26289572168,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.44,-9342.12188999821,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.45,-9424.23199768817,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.46,-9504.63118761257,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.47,-9583.35753050375,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.48,-9660.44911828392,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.49,-9735.94429748741,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.5,-9809.88126364733,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
0.51,-9882.29854086225,10,"fluB",-2505.54595134538,-2503.62522193504,0.09,0.1
