chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-6960.304978,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.01,-6895.316371,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.02,-6831.936188,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.03,-6770.14974,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.04,-6709.942654,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.05,-6651.301066,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.06,-6594.211588,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.07,-6538.661284,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.08,-6484.637713,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.09,-6432.128765,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.1,-6381.122842,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.11,-6331.608694,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.12,-6283.57546,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.13,-6237.01265,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.14,-6191.910113,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.15,-6148.257993,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.16,-6106.046691,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.17,-6065.266978,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.18,-6025.909424,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.19,-5987.964451,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.2,-5951.421336,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.21,-5916.266043,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.22,-5882.4758,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.23,-5850.00585,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.24,-5818.758099,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.25,-5788.509406,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.26,-5758.753606,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.27,-5728.370903,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.28,-5694.990773,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.29,-5653.954915,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.3,-5597.35555,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.31,-5515.962233,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.32,-5410.76009,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.33,-5309.858992,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.34,-5249.713952,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.35,-5232.942663,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.36,-5241.548706,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.37,-5263.071981,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.38,-5292.148872,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.39,-5326.370238,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.4,-5364.343669,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.41,-5405.101708,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.42,-5447.921216,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.43,-5492.24818,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.44,-5537.652722,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.45,-5583.798057,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.46,-5630.41788,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.47,-5677.299806,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.48,-5724.273362,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.49,-5771.199856,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.5,-9623.998884,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.51,-9769.080892,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.52,-9910.675754,10,fluA,-5234.863392,-5232.942663,0.35,0.354
0.53,-10048.94135,10,fluA,-5234.863392,-5232.942663,0.35,0.354
